Game Type,Home,Away,Game,Team,Squad,Number,ACTION,Danger,Notes,Contested/Uncontested Chance,Period,Strength,,Team Totals All Situations: VAUGHAN KINGS,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,14,M,LD,,,2,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,88,CE,,,,2,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,88,S,MD,,C,2,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,88,CE,,,,2,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,7,CE,,,,2,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,7,B,MD,,,2,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,19,PE,,,,2,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,15,CE,,,,2,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,15,S,LD,REB,,2,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,16,B,LD,,,2,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,88,B,LD,,,2,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,88,GOAL,LD,,,2,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,2,CE,,,,2,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,2,S,LD,NO REB,,2,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,27,S,LD,REB,,2,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,8,GOAL,HD,,C,2,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,17,D,,,,2,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,15,UCE,,,,2,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,55,D,,,,2,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,21,D,,,,2,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,34,D,,,,2,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,28,D,,,,2,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,3,M,LD,,,2,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,19,CE,,,,2,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,19,CE,,,,2,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,19,P,MD,,,2,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,7,S,MD,,C,2,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,19,GOAL,HD,,U,2,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,86,D,,,,2,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,88,S,MD,,C,2,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,27,S,HD,,C,2,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,19,CE,,,,2,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,19,D,,,,2,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,97,CE,,,,2,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,97,P,MD,,,2,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,88,S,HD,,U,2,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,88,CE,,,,2,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,19,CE,,,,2,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,34,S,HD,,U,2,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,34,D,,,,2,PP,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,,CE,,,,2,PP,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,34,CE,,,,2,PP,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,2,CE,,,,2,PP,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,7,P,MD,,,2,PP,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,2,S,MD,,,2,PP,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,97,P,MD,,,2,PP,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,7,S,MD,,U,2,PP,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,10,S,LD,NO REB,,2,PP,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,10,S,LD,REB,,2,PP,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,42,B,LD,,,2,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,14,D,,,,3,PK,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,7,D,,,,3,PK,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,17,PE,,,,3,PK,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,98,CE,,,,3,PK,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,14,B,LD,,,3,PK,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,86,S,MD,,,3,PK,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,98,S,HD,,,3,PK,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,98,D,,,,3,PK,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,2,PE,,,,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,17,CE,,,,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,14,B,LD,,,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,98,D,,,,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,16,D,,,,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,,D,,,,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,98,D,,,,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,21,S,LD,NO REB,,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,14,M,LD,,,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,19,CE,,,,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,19,S,MD,,C,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,17,M,LD,,,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,14,S,LD,NO REB,,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,14,CE,,,,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,14,S,LD,NO REB,,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,42,D,,,,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,42,D,,,,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,21,D,,,,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,8,CE,,,,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,3,D,,,,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,14,M,LD,,,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,10,M,LD,,,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,10,P,MD,TIP,,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,21,M,MD,TIP,,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,19,CE,,,,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,19,M,LD,,,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,19,CE,,,,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,34,D,,,,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,19,CE,,,,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,19,S,LD,NO REB,,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,8,M,MD,,U,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,97,D,,,,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,16,B,LD,,,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,86,CE,,,,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,14,B,LD,,,3,PK,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,8,B,MD,,,3,PK,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,14,B,MD,,,3,PK,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,14,M,HD,,,3,PK,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,14,S,LD,NO REB,,3,PK,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,14,D,,,,3,PK,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,86,S,MD,,U,3,PK,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,17,CE,,,,3,PK,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,17,M,LD,,,3,PK,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,88,CE,,,,3,PK,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,88,S,MD,,C,3,PK,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,,PE,,,,3,PK,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,7,CE,,,,3,PK,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,7,M,MD,,,3,PK,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,15,CE,,,,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,15,S,LD,REB,,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,2,CE,,,,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,2,S,LD,NO REB,,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,8,PE,,,,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,86,CE,,,,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,86,ASSIST,HD,,,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,14,GOAL,HD,,U,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,14,D,,,,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,10,S,LD,NO REB,,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,2,S,LD,REB,,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,27,D,,,,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,8,CE,,,,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,8,S,LD,NO REB,,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,10,D,,,,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Toronto Marlboros,M,86,GOAL,MD,,U,3,EV,,,,,
GTHL Playoffs,Vaughan Kings,Toronto Marlboros,Vaughan Kings vs. Toronto Marlboros Game 3,Vaughan Kings,V,88,D,,,,3,EV,,,,,
GTHL Playoffs,Mississauga Senators,Toronto Marlboros,Mississauga Senators vs. Toronto Marlboros Game 4,Mississauga Senators,S,22,M,LD,,,1,EV,,,,,
GTHL Playoffs,Mississauga Senators,Toronto Marlboros,Mississauga Senators vs. Toronto Marlboros Game 4,Toronto Marlboros,M,34,D,,,,1,EV,,,,,
GTHL Playoffs,Mississauga Senators,Toronto Marlboros,Mississauga Senators vs. Toronto Marlboros Game 4,Toronto Marlboros,M,19,M,MD,,,1,EV,,,,,
GTHL Playoffs,Mississauga Senators,Toronto Marlboros,Mississauga Senators vs. Toronto Marlboros Game 4,Mississauga Senators,S,6,CE,,,,1,EV,,,,,
GTHL Playoffs,Mississauga Senators,Toronto Marlboros,Mississauga Senators vs. Toronto Marlboros Game 4,Toronto Marlboros,M,7,D,,,,1,EV,,,,,
GTHL Playoffs,Mississauga Senators,Toronto Marlboros,Mississauga Senators vs. Toronto Marlboros Game 4,Toronto Marlboros,M,15,S,LD,NO REB,,1,EV,,,,,
GTHL Playoffs,Mississauga Senators,Toronto Marlboros,Mississauga Senators vs. Toronto Marlboros Game 4,Toronto Marlboros,M,98,S,MD,,C,1,EV,,,,,
GTHL Playoffs,Mississauga Senators,Toronto Marlboros,Mississauga Senators vs. Toronto Marlboros Game 4,Toronto Marlboros,M,44,S,LD,NO REB,,1,EV,,,,,
GTHL Playoffs,Mississauga Senators,Toronto Marlboros,Mississauga Senators vs. Toronto Marlboros Game 4,Toronto Marlboros,M,44,D,,,,1,EV,,,,,
GTHL Playoffs,Mississauga Senators,Toronto Marlboros,Mississauga Senators vs. Toronto Marlboros Game 4,Toronto Marlboros,M,14,S,MD,,C,1,EV,,,,,
GTHL Playoffs,Mississauga Senators,Toronto Marlboros,Mississauga Senators vs. Toronto Marlboros Game 4,Toronto Marlboros,M,14,CE,,,,1,EV,,,,,
GTHL Playoffs,Mississauga Senators,Toronto Marlboros,Mississauga Senators vs. Toronto Marlboros Game 4,Toronto Marlboros,M,14,P,HD,,,1,EV,,,,,
GTHL Playoffs,Mississauga Senators,Toronto Marlboros,Mississauga Senators vs. Toronto Marlboros Game 4,Toronto Marlboros,M,8,S,HD,BWAY,U,1,EV,,,,,
GTHL Playoffs,Mississauga Senators,Toronto Marlboros,Mississauga Senators vs. Toronto Marlboros Game 4,Toronto Marlboros,M,19,UCE,,,,1,EV,,,,,
GTHL Playoffs,Mississauga Senators,Toronto Marlboros,Mississauga Senators vs. Toronto Marlboros Game 4,Toronto Marlboros,M,42,D,,,,1,EV,,,,,
GTHL Playoffs,Mississauga Senators,Toronto Marlboros,Mississauga Senators vs. Toronto Marlboros Game 4,Toronto Marlboros,M,34,D,,,,1,EV,,,,,
GTHL Playoffs,Mississauga Senators,Toronto Marlboros,Mississauga Senators vs. Toronto Marlboros Game 4,Toronto Marlboros,M,15,M,MD,,U,1,EV,,,,,
GTHL Playoffs,Mississauga Senators,Toronto Marlboros,Mississauga Senators vs. Toronto Marlboros Game 4,Mississauga Senators,S,9,D,,,,1,EV,,,,,
GTHL Playoffs,Mississauga Senators,Toronto Marlboros,Mississauga Senators vs. Toronto Marlboros Game 4,Toronto Marlboros,M,98,CE,,,,1,EV,,,,,
GTHL Playoffs,Mississauga Senators,Toronto Marlboros,Mississauga Senators vs. Toronto Marlboros Game 4,Toronto Marlboros,M,15,S,MD,,C,1,EV,,,,,
GTHL Playoffs,Mississauga Senators,Toronto Marlboros,Mississauga Senators vs. Toronto Marlboros Game 4,Toronto Marlboros,M,98,GOAL,HD,,C,1,EV,,,,,
GTHL Playoffs,Mississauga Senators,Toronto Marlboros,Mississauga Senators vs. Toronto Marlboros Game 4,Toronto Marlboros,M,21,D,,,,1,EV,,,,,
GTHL Playoffs,Mississauga Senators,Toronto Marlboros,Mississauga Senators vs. Toronto Marlboros Game 4,Mississauga Senators,S,7,D,,,,1,EV,,,,,
GTHL Playoffs,Mississauga Senators,Toronto Marlboros,Mississauga Senators vs. Toronto Marlboros Game 4,Toronto Marlboros,M,8,M,HD,,U,1,EV,,,,,
GTHL Playoffs,Mississauga Senators,Toronto Marlboros,Mississauga Senators vs. Toronto Marlboros Game 4,Mississauga Senators,S,6,P,MD,,,1,EV,,,,,
GTHL Playoffs,Mississauga Senators,Toronto Marlboros,Mississauga Senators vs. Toronto Marlboros Game 4,Mississauga Senators,S,22,Post,MD,,C,1,EV,,,,,
GTHL Playoffs,Mississauga Senators,Toronto Marlboros,Mississauga Senators vs. Toronto Marlboros Game 4,Toronto Marlboros,M,19,CE,,,,1,EV,,,,,
GTHL Playoffs,Mississauga Senators,Toronto Marlboros,Mississauga Senators vs. Toronto Marlboros Game 4,Toronto Marlboros,M,34,ASSIST,HD,,,1,EV,,,,,
GTHL Playoffs,Mississauga Senators,Toronto Marlboros,Mississauga Senators vs. Toronto Marlboros Game 4,Toronto Marlboros,M,19,GOAL,HD,,C,1,EV,,,,,
GTHL Playoffs,Mississauga Senators,Toronto Marlboros,Mississauga Senators vs. Toronto Marlboros Game 4,Toronto Marlboros,M,98,D,,,,1,EV,,,,,
GTHL Playoffs,Mississauga Senators,Toronto Marlboros,Mississauga Senators vs. Toronto Marlboros Game 4,Toronto Marlboros,M,10,M,LD,,,1,EV,,,,,
GTHL Playoffs,Mississauga Senators,Toronto Marlboros,Mississauga Senators vs. Toronto Marlboros Game 4,Toronto Marlboros,M,14,D,,,,1,EV,,,,,
GTHL Playoffs,Mississauga Senators,Toronto Marlboros,Mississauga Senators vs. Toronto Marlboros Game 4,Mississauga Senators,S,7,D,,,,1,EV,,,,,
GTHL Playoffs,Mississauga Senators,Toronto Marlboros,Mississauga Senators vs. Toronto Marlboros Game 4,Toronto Marlboros,M,86,D,,,,1,EV,,,,,
GTHL Playoffs,Mississauga Senators,Toronto Marlboros,Mississauga Senators vs. Toronto Marlboros Game 4,Mississauga Senators,S,86,D,,,,1,EV,,,,,
GTHL Playoffs,Mississauga Senators,Toronto Marlboros,Mississauga Senators vs. Toronto Marlboros Game 4,Mississauga Senators,S,77,B,LD,,,1,EV,,,,,
GTHL Playoffs,Mississauga Senators,Toronto Marlboros,Mississauga Senators vs. Toronto Marlboros Game 4,Mississauga Senators,S,22,CE,,,,1,EV,,,,,
GTHL Playoffs,Mississauga Senators,Toronto Marlboros,Mississauga Senators vs. Toronto Marlboros Game 4,Mississauga Senators,S,22,M,LD,,,1,EV,,,,,
GTHL Playoffs,Mississauga Senators,Toronto Marlboros,Mississauga Senators vs. Toronto Marlboros Game 4,Toronto Marlboros,M,19,CE,,,,1,EV,,,,,
GTHL Playoffs,Mississauga Senators,Toronto Marlboros,Mississauga Senators vs. Toronto Marlboros Game 4,Toronto Marlboros,M,19,B,LD,,,1,EV,,,,,
GTHL Playoffs,Mississauga Senators,Toronto Marlboros,Mississauga Senators vs. Toronto Marlboros Game 4,Mississauga Senators,S,10,CE,,,,1,EV,,,,,
